Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Property ID,Image Link
25-06-2022,3,60000,2500,2 out of 3,Carpet Area,Saket,Delhi,Unfurnished,Bachelors,3,Contact Agent,2402,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2482
20-06-2022,4,350000,800,1 out of 4,Super Area,Green Park,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent,2403,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2483
27-06-2022,2,16000,100,3 out of 3,Super Area,Rohini Sector 24,Delhi,Unfurnished,Bachelors,2,Contact Owner,2404,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2484
14-05-2022,1,16000,400,2 out of 3,Carpet Area,Subhash Nagar,Delhi,Furnished,Bachelors,1,Contact Owner,2405,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2485
12-06-2022,2,12000,750,1 out of 3,Carpet Area,Dwarka Mor,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,2406,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2486
07-07-2022,1,8000,400,1 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,2407,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2487
30-06-2022,3,14000,1100,Ground out of 3,Carpet Area,Dwarka Mor,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,2408,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2488
08-06-2022,1,14900,450,Ground out of 5,Carpet Area,Rohini Sector 18,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2409,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2489
27-04-2022,2,15000,850,3 out of 3,Carpet Area,Rohini Sector 23,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2410,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2490
09-07-2022,3,10000,600,3 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,2411,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2491
13-05-2022,2,40000,750,1 out of 4,Carpet Area,New Rajendra Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2412,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2492
29-05-2022,1,9000,500,1 out of 4,Carpet Area,Neb Sarai,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,2413,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2493
17-06-2022,1,7000,350,2 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,2414,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2494
04-06-2022,2,13500,623,2 out of 3,Carpet Area,"Ganesh Nagar, Tilak Nagar",Delhi,Furnished,Bachelors/Family,1,Contact Owner,2415,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2495
16-06-2022,3,95000,2400,3 out of 4,Carpet Area,Greater Kailash 2,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,2416,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2496
18-05-2022,1,20000,75,2 out of 4,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,2417,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2497
27-04-2022,2,7500,450,1 out of 5,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2418,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2498
30-06-2022,2,9000,445,4 out of 4,Carpet Area,"Palam Colony, Palam",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2419,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2499
04-07-2022,3,80000,300,1 out of 3,Carpet Area,Greater Kailash 2,Delhi,Furnished,Bachelors,3,Contact Agent,2420,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2500
31-05-2022,3,50000,1670,3 out of 4,Super Area,Model Town,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,2421,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2501
24-06-2022,1,13000,550,1 out of 4,Carpet Area,Saket,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,2422,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2502
18-05-2022,1,12000,350,4 out of 4,Carpet Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,2423,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2503
18-05-2022,2,16000,650,2 out of 4,Carpet Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,2424,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2504
31-05-2022,2,13000,70,1 out of 3,Super Area,Vikaspuri,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2425,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2505
04-05-2022,2,29000,100,1 out of 3,Carpet Area,South,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2426,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2506
08-06-2022,3,18000,800,2 out of 3,Super Area,Hari Nagar Ashram,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2427,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2507
10-05-2022,2,8500,60,2 out of 2,Super Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2428,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2508
23-05-2022,3,27000,2000,1 out of 3,Carpet Area,"Kohinoor Apartment, Kalkaji Extention",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2429,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2509
09-05-2022,2,18000,600,1 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2430,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2510
07-06-2022,1,11500,450,3 out of 4,Carpet Area,"Bhogal, Jangpura",Delhi,Semi-Furnished,Bachelors,1,Contact Owner,2431,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2511
07-07-2022,2,80000,2200,1 out of 4,Carpet Area,Defence Colony,Delhi,Unfurnished,Bachelors,3,Contact Agent,2432,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2512
20-06-2022,2,15500,600,1 out of 4,Carpet Area,dwarka sector 8 Raj Nagar extension part 2,Delhi,Unfurnished,Bachelors,2,Contact Owner,2433,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2513
07-07-2022,4,55000,2000,2 out of 4,Carpet Area,Dwarka sec 19,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,2434,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2514
01-05-2022,2,20000,800,3 out of 4,Super Area,Malviya Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2435,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2515
08-06-2022,3,35000,170,4 out of 4,Carpet Area,"Chitra Vihar, Swasthya Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2436,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2516
18-05-2022,2,38000,150,Ground out of 4,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2437,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2517
04-05-2022,2,16000,650,3 out of 4,Carpet Area,Freedom Fighters Enclave,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2438,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2518
21-06-2022,3,50000,1250,2 out of 4,Carpet Area,Chittaranjan Park Block B,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,2439,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2519
17-06-2022,1,9500,600,2 out of 4,Super Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2440,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2520
07-07-2022,4,90000,2100,3 out of 3,Carpet Area,"Kailash hills, East Of Kailash",Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,2441,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2521
08-06-2022,1,10000,450,3 out of 4,Super Area,Rohini Sector 18,Delhi,Unfurnished,Bachelors,1,Contact Owner,2442,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2522
12-06-2022,2,25000,100,2 out of 4,Carpet Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors,2,Contact Owner,2443,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2523
14-05-2022,1,30000,650,3 out of 4,Super Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2444,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2524
18-05-2022,2,12000,48,1 out of 3,Super Area,Rohini Sector 16,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2445,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2525
07-07-2022,2,16500,550,4 out of 4,Carpet Area,"Guru Angad Nagar West, Laxmi Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2446,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2526
04-06-2022,1,4500,240,1 out of 2,Super Area,Dilshad Colony,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2447,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2527
22-06-2022,2,30000,700,3 out of 3,Carpet Area,Vasant Kunj Sector B,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,2448,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2528
03-07-2022,1,12000,48,1 out of 2,Super Area,Rohini Sector 11,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2449,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2529
27-05-2022,2,23000,100,Ground out of 3,Super Area,Mansarover Garden,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2450,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2530
18-05-2022,3,70000,1901,9 out of 11,Super Area,"Unity the Amaryllis, Karol Bagh",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,2451,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2531
27-06-2022,1,5500,50,1 out of 4,Carpet Area,Lado Sarai,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2452,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2532
05-07-2022,3,35000,1300,3 out of 4,Carpet Area,Dakshini Pitampura,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,2453,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2533
27-05-2022,2,9000,145,1 out of 3,Super Area,Palam,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2454,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2534
24-05-2022,2,22000,800,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,2455,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2535
09-06-2022,3,35000,1100,1 out of 3,Super Area,Kalkaji Extension,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner,2456,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2536
02-05-2022,1,12000,450,2 out of 2,Super Area,Dwarka Sector 7,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2457,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2537
28-06-2022,2,6000,300,3 out of 4,Carpet Area,Jhangir Puri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2458,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2538
19-05-2022,2,22000,1040,1 out of 2,Carpet Area,"Janak Park, Hari Nagar",Delhi,Semi-Furnished,Bachelors,3,Contact Owner,2459,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2539
18-05-2022,1,5000,25,2 out of 5,Carpet Area,Ganga Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2460,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2540
04-06-2022,2,20500,900,Ground out of 9,Super Area,"IGNOU Road, Saket",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2461,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2541
28-05-2022,2,7500,1100,3 out of 4,Super Area,Bijwasan,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2462,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2542
01-07-2022,2,5500,380,1 out of 1,Super Area,Prem Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2463,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2543
02-06-2022,3,25000,450,2 out of 2,Carpet Area,Gandhi Nagar,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,2464,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2544
02-07-2022,1,13000,550,3 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,2465,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2545
04-06-2022,1,5000,180,Ground out of 3,Super Area,Mukherjee Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2466,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2546
06-05-2022,3,40000,1650,1 out of 3,Carpet Area,Dakshini Pitampura,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2467,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2547
31-05-2022,1,12500,250,1 out of 5,Super Area,"Inder Puri Block A, Inder Puri",Delhi,Furnished,Bachelors/Family,1,Contact Owner,2468,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2548
29-05-2022,1,6000,400,Ground out of 5,Carpet Area,"Raghubir Nagar, Tagore Garden Extension",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2469,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2549
04-07-2022,2,15500,900,Ground out of 3,Carpet Area,Vivek Vihar Phase 2,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,2470,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2550
27-05-2022,3,75000,1900,2 out of 3,Super Area,Malviya Nagar,Delhi,Furnished,Bachelors/Family,3,Contact Owner,2471,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2551
12-06-2022,3,36000,892,2 out of 4,Carpet Area,Gautam Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2472,https://images.unsplash.com/photo-1613490493576-7fde63acd811?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bHV4dXJ5JTIwaG91c2V8ZW58MHx8MHx8fDA%3D&w=1000&q=2552
